Phone Single Day difference: 0.209 users: 53, days:405
      uid       date
1390  P48 2021-09-03
1391  P48 2021-09-04
1392  P48 2021-09-05
1393  P48 2021-09-06
1394  P48 2021-09-07
1395  P48 2021-09-08
1396  P48 2021-09-09
1397  P48 2021-09-10
1398  P48 2021-09-11
1399  P48 2021-09-12
1400  P48 2021-09-13
1401  P48 2021-09-14
1402  P48 2021-09-15
1403  P48 2021-09-16
1404  P48 2021-09-17
1405  P48 2021-09-18
1406  P48 2021-09-19
1407  P48 2021-09-20
1408  P48 2021-09-21
1409  P48 2021-09-22
1410  P48 2021-09-23
1411  P48 2021-09-24
1413  P48 2021-09-26
1597  P57 2021-07-21
1600  P57 2021-07-24
1602  P57 2021-07-26
1608  P57 2021-08-01
1623  P57 2021-08-16
1645  P58 2021-08-09
1652  P58 2021-08-16
1666  P59 2021-11-22
1686  P59 2021-12-12
1711  P60 2021-08-06
1714  P60 2021-08-09
1719  P60 2021-08-14
1725  P61 2021-10-28
1737  P61 2021-11-09
1750  P61 2021-11-22
1766  P62 2021-07-25
1825  P65 2021-11-19
1826  P65 2021-11-20
1827  P65 2021-11-21
1831  P65 2021-11-25
1832  P65 2021-11-26
1833  P65 2021-11-27
1834  P65 2021-11-28
1835  P65 2021-11-29
1837  P65 2021-12-01
1840  P65 2021-12-04
1841  P65 2021-12-05
1842  P65 2021-12-06
1843  P65 2021-12-07
1844  P65 2021-12-08
1846  P65 2021-12-10
1847  P65 2021-12-11
1848  P65 2021-12-12
1849  P65 2021-12-13
1850  P65 2021-12-14
1851  P65 2021-12-15
1854  P65 2021-12-18
1858  P66 2021-10-29
1871  P66 2021-11-11
1873  P66 2021-11-13
1885  P66 2021-11-25
1887  P66 2021-11-27
1927  P69 2021-07-21
1928  P69 2021-07-22
1929  P69 2021-07-23
1930  P69 2021-07-24
1931  P69 2021-07-25
1932  P69 2021-07-26
1933  P69 2021-07-27
1934  P69 2021-07-28
1935  P69 2021-07-29
1936  P69 2021-07-30
1937  P69 2021-07-31
1938  P69 2021-08-01
1939  P69 2021-08-02
1940  P69 2021-08-03
1941  P69 2021-08-04
1942  P69 2021-08-05
1943  P69 2021-08-06
1944  P69 2021-08-07
1945  P69 2021-08-08
1946  P69 2021-08-09
1947  P69 2021-08-10
1948  P69 2021-08-11
1949  P69 2021-08-12
1950  P69 2021-08-13
1951  P69 2021-08-14
1952  P69 2021-08-15
1953  P69 2021-08-16
1954  P69 2021-08-17
1958  P69 2021-08-21
1959  P69 2021-08-22
1963  P70 2021-07-24
1966  P70 2021-07-27
1971  P70 2021-08-01
1977  P70 2021-08-07
1984  P70 2021-08-14
1985  P70 2021-08-15
1986  P70 2021-08-16
1999  P71 2021-11-02
2005  P71 2021-11-08
2013  P71 2021-11-16
2025  P71 2021-11-28
2095  P74 2021-07-18
2109  P74 2021-08-01
2114  P74 2021-08-06
2115  P74 2021-08-07
2116  P74 2021-08-08
2117  P74 2021-08-09
2118  P74 2021-08-10
2122  P74 2021-08-14
2123  P74 2021-08-15
2204  P77 2021-11-21
2226  P78 2021-07-14
2227  P78 2021-07-15
2228  P78 2021-07-16
2229  P78 2021-07-17
2230  P78 2021-07-18
2231  P78 2021-07-19
2232  P78 2021-07-20
2235  P78 2021-07-23
2236  P78 2021-07-24
2237  P78 2021-07-25
2238  P78 2021-07-26
2239  P78 2021-07-27
2240  P78 2021-07-28
2241  P78 2021-07-29
2242  P78 2021-07-30
2243  P78 2021-07-31
2244  P78 2021-08-01
2245  P78 2021-08-02
2246  P78 2021-08-03
2247  P78 2021-08-04
2248  P78 2021-08-05
2249  P78 2021-08-06
2250  P78 2021-08-07
2251  P78 2021-08-08
2252  P78 2021-08-09
2253  P78 2021-08-10
2254  P78 2021-08-11
2255  P78 2021-08-12
2256  P78 2021-08-13
2257  P78 2021-08-14
2258  P78 2021-08-15
2259  P78 2021-08-16
2297  P80 2021-07-18
2304  P80 2021-07-25
2311  P80 2021-08-01
2315  P80 2021-08-05
2317  P80 2021-08-07
2318  P80 2021-08-08
2319  P80 2021-08-09
2320  P80 2021-08-10
2321  P80 2021-08-11
2322  P80 2021-08-12
2323  P80 2021-08-13
2324  P80 2021-08-14
2325  P80 2021-08-15
2326  P80 2021-08-16
2327  P81 2021-10-28
2367  P82 2021-08-13
2369  P82 2021-08-15
2373  P82 2021-08-19
2375  P82 2021-08-21
2376  P82 2021-08-22
2381  P82 2021-08-27
2383  P82 2021-08-29
2389  P82 2021-09-04
2459  P87 2021-07-16
2463  P87 2021-07-20
2465  P87 2021-07-22
2466  P87 2021-07-23
2471  P87 2021-07-28
2472  P87 2021-07-29
2476  P87 2021-08-02
2485  P87 2021-08-11
2508  P88 2021-11-27
2509  P88 2021-11-28
2563  P89 2021-11-25
2575  P90 2021-07-20
2576  P90 2021-07-21
2577  P90 2021-07-22
2578  P90 2021-07-23
2579  P90 2021-07-24
2580  P90 2021-07-25
2581  P90 2021-07-26
2582  P90 2021-07-27
2583  P90 2021-07-28
2584  P90 2021-07-29
2585  P90 2021-07-30
2586  P90 2021-07-31
2587  P90 2021-08-01
2588  P90 2021-08-02
2589  P90 2021-08-03
2590  P90 2021-08-04
2591  P90 2021-08-05
2592  P90 2021-08-06
2593  P90 2021-08-07
2594  P90 2021-08-08
2595  P90 2021-08-09
2596  P90 2021-08-10
2597  P90 2021-08-11
2598  P90 2021-08-12
2599  P90 2021-08-13
2600  P90 2021-08-14
2601  P90 2021-08-15
2602  P90 2021-08-16
2603  P90 2021-08-17
2604  P90 2021-08-18
2605  P90 2021-08-19
2609  P91 2021-07-15
2612  P91 2021-07-18
2616  P91 2021-07-23
2617  P91 2021-07-24
2620  P91 2021-07-27
2622  P91 2021-07-29
2632  P91 2021-08-08
2639  P91 2021-08-15
2667  P92 2021-08-09
2668  P92 2021-08-10
2669  P92 2021-08-11
2670  P92 2021-08-12
2671  P92 2021-08-13
2672  P92 2021-08-14
2673  P92 2021-08-15
2676  P95 2021-10-27
2679  P95 2021-10-30
2680  P95 2021-10-31
2681  P95 2021-11-01
2694  P95 2021-11-14
2697  P95 2021-11-17
2700  P95 2021-11-20
2702  P95 2021-11-22
2703  P95 2021-11-23
2706  P95 2021-11-26
2763  P97 2021-08-06
2774  P98 2021-11-13
2782  P98 2021-11-21
2788  P98 2021-11-27
2789  P98 2021-11-28
2795  P98 2021-12-04
2796  P98 2021-12-05
2802  P98 2021-12-11
2803  P98 2021-12-12
Weekend: 157([[0.13580247]
 [0.10617284]
 [0.10123457]
 [0.12839506]
 [0.14074074]
 [0.17283951]
 [0.21481481]])
Watch Single Day difference: 0.031 users: 12, days:42
Weekend: 12([[0.01234568]
 [0.01234568]
 [0.01728395]
 [0.01481481]
 [0.01728395]
 [0.01234568]
 [0.01728395]])
      uid       date  weekday    wstep  wcount
34    P02 2021-07-15        3   9270.0     1.0
55    P02 2021-08-05        3  12268.0     3.0
57    P02 2021-08-07        5  13299.0     1.0
66    P02 2021-08-16        0  13439.0     2.0
624   P23 2021-07-25        6     20.0     2.0
638   P23 2021-08-08        6     11.0     1.0
790   P29 2021-11-24        2     42.0     2.0
864   P31 2021-11-14        6  12698.0     2.0
1338  P46 2021-12-03        4   4683.0    18.0
1339  P46 2021-12-06        0   3865.0    18.0
1340  P46 2021-12-07        1   6016.0    21.0
1341  P46 2021-12-08        2   4262.0     8.0
1342  P46 2021-12-10        4   7015.0    19.0
1416  P49 2021-11-05        4   7696.0    64.0
1417  P49 2021-11-06        5  17535.0    41.0
1418  P49 2021-11-08        0   3062.0    47.0
1419  P49 2021-11-09        1   7539.0    58.0
1420  P49 2021-11-10        2   7139.0    82.0
1421  P49 2021-11-11        3   9627.0    68.0
1422  P49 2021-11-12        4   6949.0    67.0
1423  P49 2021-11-13        5   5522.0    34.0
1424  P49 2021-11-14        6   4513.0    17.0
1425  P49 2021-11-15        0   8312.0    46.0
1426  P49 2021-11-16        1   8092.0    45.0
1427  P49 2021-11-17        2   5747.0    45.0
1428  P49 2021-11-18        3   7806.0    59.0
1429  P49 2021-11-19        4   9489.0    65.0
1430  P49 2021-11-21        6   2870.0    10.0
1431  P49 2021-11-22        0   5976.0    55.0
1432  P49 2021-11-23        1   8763.0    42.0
1433  P49 2021-11-24        2   9823.0    64.0
1434  P49 2021-11-25        3   5307.0    51.0
1435  P49 2021-11-26        4   5925.0    34.0
1436  P49 2021-11-27        5   3028.0     5.0
1483  P53 2021-07-07        2   1147.0    41.0
1524  P53 2021-08-17        1   3755.0    68.0
1772  P62 2021-07-31        5   9486.0     2.0
1897  P68 2021-11-14        6    817.0    32.0
2031  P72 2021-10-22        4    345.0     7.0
2043  P72 2021-11-03        2   1649.0    41.0
2727  P96 2021-11-07        6    670.0    29.0
2741  P97 2021-07-15        3    646.0    20.0
